date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count
20110624,13.955812,1.719845,2.604502,119.89846,13.105447,17,2,3,139,16,1000
20110625,25.27938,4.982034,5.324024,101.852061,24.480094,30,6,6,118,29,1000
20110626,23.85855,4.363912,6.771933,112.202806,11.967524,28,5,8,131,14,1000
20110627,28.462728,2.771255,4.343152,108.306102,20.688675,34,3,5,126,24,1000
20110628,25.084849,5.398433,4.522021,118.076436,22.985834,29,6,5,136,28,1000
20110629,21.625929,3.264394,0.849307,129.424184,25.151089,26,4,1,151,30,1000
20110630,34.653045,6.795686,5.452252,123.875752,24.312886,41,8,6,144,29,1000
20110701,20.353413,6.405533,3.413686,109.995011,19.578228,24,7,4,126,23,1000
20110702,16.054809,2.635082,5.328109,117.119763,22.499342,19,3,6,135,27,1000
20110703,20.428464,1.695396,5.375378,136.35595,19.709132,24,2,6,158,23,1000
20110704,25.199315,3.340968,2.506289,126.50595,12.638747,30,4,3,147,15,1000
20110705,26.871141,5.389153,2.702132,106.854657,20.287673,32,6,3,123,24,1000
20110706,21.11955,5.19146,3.541529,124.47221,26.723308,25,6,4,144,31,1000
20110707,13.671432,4.335053,6.16997,107.012276,10.158683,16,5,7,125,12,1000
20110708,18.037673,3.290024,5.907696,106.782824,16.928341,22,4,7,124,20,1000
20110709,19.971488,5.994606,2.515636,118.39924,19.481159,24,7,3,136,23,1000
20110710,25.432957,4.407745,4.486471,117.952047,18.59794,30,5,5,136,22,1000
20110711,22.586643,5.753814,4.608826,117.632646,22.758258,27,7,5,138,26,1000
20110712,29.420407,3.724136,5.135904,117.815245,18.741187,35,4,6,136,22,1000
20110713,21.641892,4.202445,5.390374,113.98498,26.710832,26,5,6,132,32,1000
20110714,26.333945,3.57311,3.724136,102.104303,21.959048,31,4,4,118,26,1000
20110715,20.092233,4.494058,4.445125,112.682098,22.218245,24,5,5,131,26,1000
20110716,21.310001,7.015103,5.192393,115.789468,22.960967,25,8,6,133,27,1000
20110717,21.365745,1.759088,6.911684,105.105471,21.142217,25,2,8,121,25,1000
