date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count,close,open,high,low,change
20110411,23.678598,1.862068,3.365532,129.260966,22.046661,28,2,4,150,26,1000,12381.11,12380.43,12476.93,12319.35,0.0001
20110412,23.436641,1.568504,1.80704,110.107599,28.552481,28,2,2,128,33,1000,12263.58,12381.04,12381.04,12185.09,-0.95
20110413,17.595715,3.441165,3.351268,103.535217,17.206766,21,4,4,121,21,1000,12270.99,12263.73,12372.94,12203.63,0.0006
20110414,16.065135,4.921378,5.183304,102.417106,15.457086,19,6,6,121,18,1000,12285.15,12270.24,12332.71,12137.98,0.0012
20110415,16.86991,1.555661,3.334624,121.630811,14.709462,20,2,4,141,18,1000,12341.83,12285.45,12402.61,12238.34,0.0046
20110418,15.250017,5.303843,4.020199,110.789575,24.152601,18,6,5,128,29,1000,12201.59,12339.71,12339.79,12093.89,-1.14
20110419,18.58136,0.931034,8.44312,119.981484,16.891824,22,1,10,139,20,1000,12266.75,12201.44,12320.53,12163.29,0.0053
20110420,18.766088,1.661918,2.62951,129.577488,18.624605,22,2,3,149,22,1000,12453.54,12279.17,12530.96,12279.17,0.0152
20110421,25.237808,1.659988,1.627278,128.151413,19.621094,30,2,2,149,23,1000,12505.99,12453.62,12563.89,12377.82,0.0042
20110425,19.239691,3.302728,5.389045,119.237033,21.10233,23,4,6,137,25,1000,12479.88,12505.99,12547.5,12401.02,-0.21
20110426,18.185665,3.557669,5.072008,100.751129,21.307341,22,4,6,117,25,1000,12595.37,12480.86,12652.17,12448.32,0.0093
20110427,24.143848,2.46459,3.899618,104.404073,22.403443,29,3,5,122,27,1000,12690.96,12592.23,12729.41,12518.55,0.0076
20110428,17.081067,5.304982,4.105967,102.843934,21.266104,20,6,5,121,25,1000,12763.31,12689.75,12807.36,12617.43,0.0057
20110429,20.729082,1.684967,1.818939,129.733906,14.705723,25,2,2,151,18,1000,12810.54,12763.39,12885.92,12711.85,0.0037
20110502,22.469259,4.985149,6.114219,91.942465,20.277801,26,6,7,106,24,1000,12807.36,12810.16,12928.45,12754.53,-0.02
20110503,26.49761,6.226991,8.373544,106.33538,27.675849,31,7,9,123,32,1000,12807.51,12806.38,12891.44,12700.72,0
20110504,14.125742,5.1772,4.645719,112.727406,23.211725,17,6,5,132,28,1000,12723.58,12806.29,12852.81,12632.46,-0.66
20110505,16.187311,6.028301,2.850211,107.794084,21.578178,19,7,3,124,25,1000,12584.17,12723.65,12757.26,12504.85,-1.1
20110506,21.256949,1.862068,2.577098,141.324868,13.340283,25,2,3,163,16,1000,12638.74,12580.76,12788.78,12580.76,0.0043
20110509,14.349144,1.758689,1.729199,125.210762,17.431156,17,2,2,146,20,1000,12684.68,12637.83,12751.35,12591.59,0.0036
20110510,21.291996,6.024834,6.388533,108.709156,28.781054,25,7,7,126,34,1000,12760.36,12685.13,12806.6,12665.45,0.006
20110511,19.242157,3.58319,5.430281,120.278154,21.142685,23,4,6,141,25,1000,12630.03,12745.87,12748.21,12577.21,-1.02
20110512,18.66091,6.079101,4.50879,115.488208,15.224367,22,7,5,135,18,1000,12695.92,12629.81,12746.09,12497.97,0.0052
20110513,17.414649,4.299183,5.446472,133.149638,13.778085,20,5,6,156,16,1000,12595.75,12695.65,12749.08,12522.79,-0.79
20110516,23.906944,6.00459,4.433978,118.83926,20.7399,28,7,5,139,24,1000,12548.37,12594.84,12676.66,12482.07,-0.38
20110517,23.881368,3.319512,1.808332,100.22216,22.454802,29,4,2,116,26,1000,12479.58,12541.18,12591.51,12342.29,-0.55
20110518,16.973762,3.426249,8.229282,124.314528,22.470651,20,4,9,145,26,1000,12560.18,12471.78,12595.6,12402.15,0.0065
20110519,19.071439,2.671198,2.596885,108.829483,15.927164,23,3,3,126,19,1000,12605.32,12561.46,12673.78,12506.67,0.0036
20110520,25.354867,5.986181,6.111289,93.976846,13.364432,30,7,7,109,16,1000,12512.04,12604.64,12630.11,12453.96,-0.74
20110523,20.775984,2.561359,2.451125,123.915782,22.49827,25,3,3,144,27,1000,12381.26,12511.29,12511.29,12292.49,-1.05
20110524,25.722671,5.198548,5.896145,110.540746,18.535293,31,6,7,127,22,1000,12356.21,12381.87,12465.8,12315.42,-0.2
20110525,26.111357,3.519007,4.644853,107.731946,20.382722,31,4,5,125,24,1000,12394.66,12355.45,12462.28,12271.9,0.0031
20110526,20.030622,2.422561,3.440057,114.193288,25.750219,24,3,4,133,31,1000,12402.76,12391.56,12456.08,12285.75,0.0007
20110527,13.702231,4.220562,3.329269,123.671668,13.446099,16,5,4,145,16,1000,12441.58,12398.06,12519.35,12382.93,0.0031
20110531,27.929281,6.912492,5.181399,128.786816,15.457963,33,8,6,149,18,1000,12569.79,12443.4,12611.68,12443.4,0.0103
20110601,22.273439,6.129852,4.470059,110.263322,23.347032,27,7,5,129,28,1000,12290.14,12569.34,12569.34,12273.41,-2.22
20110602,25.871758,2.793102,6.218624,102.618034,17.180597,31,3,7,119,20,1000,12248.55,12289.61,12359.31,12171.39,-0.34
20110603,22.608603,6.980562,6.081056,120.150254,24.966296,27,8,7,139,29,1000,12151.26,12247.87,12247.87,12061.96,-0.79
20110606,25.670067,5.321236,4.327808,113.017706,19.263169,31,6,5,132,23,1000,12089.96,12151.19,12201.44,12045.76,-0.5
20110607,18.000317,4.283969,5.128298,111.356011,25.485298,22,5,6,130,31,1000,12070.81,12090.18,12214.46,12055.64,-0.16
20110608,25.585438,1.758045,3.470721,134.833268,22.727557,30,2,4,156,27,1000,12048.94,12066.5,12145.21,11981.28,-0.18
20110609,26.02733,0.931034,1.862068,112.945268,19.833423,31,1,2,132,24,1000,12124.36,12049.47,12205.49,12038.49,0.0063
20110610,25.415285,3.532953,7.150523,119.057038,18.371246,30,4,8,138,22,1000,11951.91,12124.17,12124.17,11912.03,-1.42
20110613,20.091168,4.32584,3.606314,117.904162,23.994219,24,5,4,136,29,1000,11952.97,11945.33,12066.46,11883.15,0.0001
20110614,25.249166,7.733606,4.449369,95.954052,28.669418,30,9,5,111,34,1000,12076.11,11951.38,12156.52,11951.38,0.0103
20110615,26.07953,5.099064,1.710569,105.148208,18.108368,31,6,2,122,22,1000,11897.27,12075.2,12075.2,11841.87,-1.48
20110616,18.627257,2.533743,6.760464,117.673603,13.355404,22,3,8,136,16,1000,11961.52,11896.13,12023.39,11821.96,0.0054
20110617,23.942046,6.212644,3.585342,110.544275,26.067903,29,7,4,128,31,1000,12004.36,11962.58,12109.11,11952.55,0.0036
20110620,21.085486,5.270995,4.449663,126.702627,14.360035,25,6,5,149,17,1000,12080.38,12004.28,12129.54,11942.07,0.0063
20110621,27.235241,5.46004,4.708993,104.494555,20.555161,32,6,5,121,24,1000,12190.01,12081.33,12248.97,12059.46,0.0091
20110622,28.937545,5.791463,9.645789,106.058671,19.571069,34,7,11,122,23,1000,12109.67,12189.63,12242.31,12082.43,-0.66
20110623,27.682493,6.805895,1.862068,122.041827,19.563756,33,8,2,143,23,1000,12050,12108.5,12108.5,11841.19,-0.49
