year,month,day,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,close,open,high,low,change
2011,04,11,23.678598,1.862068,3.365532,129.260966,22.046661,28,2,4,150,26,12381.11,12380.43,12476.93,12319.35,0.0001
2011,04,12,23.436641,1.5685040000000001,1.8070400000000002,110.107599,28.552481,28,2,2,128,33,12263.58,12381.04,12381.04,12185.09,-0.95
2011,04,13,17.595715,3.4411650000000003,3.351268,103.535217,17.206766000000002,21,4,4,121,21,12270.99,12263.73,12372.94,12203.63,0.0006
2011,04,14,16.065135,4.921378,5.183304,102.417106,15.457085999999999,19,6,6,121,18,12285.15,12270.24,12332.71,12137.98,0.0012
2011,04,15,16.86991,1.555661,3.334624,121.63081100000001,14.709462,20,2,4,141,18,12341.83,12285.45,12402.61,12238.34,0.0046
2011,04,18,15.250017000000001,5.303843,4.020199,110.789575,24.152601,18,6,5,128,29,12201.59,12339.71,12339.79,12093.89,-1.14
2011,04,19,18.58136,0.931034,8.44312,119.98148400000001,16.891824,22,1,10,139,20,12266.75,12201.44,12320.53,12163.29,0.0053
2011,04,20,18.766088,1.661918,2.62951,129.577488,18.624605,22,2,3,149,22,12453.54,12279.17,12530.96,12279.17,0.0152
2011,04,21,25.237807999999998,1.659988,1.627278,128.151413,19.621094,30,2,2,149,23,12505.99,12453.62,12563.89,12377.82,0.0042
2011,04,25,19.239691,3.3027279999999997,5.389044999999999,119.23703300000001,21.10233,23,4,6,137,25,12479.88,12505.99,12547.5,12401.02,-0.21
2011,04,26,18.185665,3.557669,5.072008,100.751129,21.307341,22,4,6,117,25,12595.37,12480.86,12652.17,12448.32,0.0093
2011,04,27,24.143848000000002,2.4645900000000003,3.8996180000000003,104.404073,22.403443,29,3,5,122,27,12690.96,12592.23,12729.41,12518.55,0.0076
2011,04,28,17.081067,5.304982,4.105967,102.84393399999999,21.266104000000002,20,6,5,121,25,12763.31,12689.75,12807.36,12617.43,0.0057
2011,04,29,20.729082000000002,1.6849669999999999,1.8189389999999999,129.73390600000002,14.705723,25,2,2,151,18,12810.54,12763.39,12885.92,12711.85,0.0037
2011,05,02,22.469259,4.985149,6.114219,91.942465,20.277801,26,6,7,106,24,12807.36,12810.16,12928.45,12754.53,-0.02
2011,05,03,26.497609999999998,6.226991,8.373544,106.33538,27.675849,31,7,9,123,32,12807.51,12806.38,12891.44,12700.72,0.0
2011,05,04,14.125742,5.1772,4.645719000000001,112.727406,23.211725,17,6,5,132,28,12723.58,12806.29,12852.81,12632.46,-0.66
2011,05,05,16.187310999999998,6.028301,2.8502110000000003,107.79408400000001,21.578178,19,7,3,124,25,12584.17,12723.65,12757.26,12504.85,-1.1
2011,05,06,21.256949,1.862068,2.577098,141.32486799999998,13.340283,25,2,3,163,16,12638.74,12580.76,12788.78,12580.76,0.0043
