노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
11,가좌동차고지,"가좌환경사업소, 산업유통센터, 인천의료원, 코스모화학, 한신휴아파트, 명신여고, 한화마트, 백마장입구, 부평시장, 부평역, 한국아파트, 61사단, 송내역 남부, 구산사거리, 인천대공원, 수현마을, 정광아파트, 향촌주공정문, 간석사거리, 길병원, 신세계백화점, 인명여고※중간출발(부평역에서 양방향 5시 출발/총 4대운행)",문학경기장,05:00/05:00,23:00/23:00,13,254,55.7,21,89,세운교통
12,전통게장길조앞,"종합어시장, 국제여객터미널,  남항부두, 백주년기념, <항운A 경유>, 신흥로터리, 답동, 동인천, 미림극장, 송림로터리, 인천교, 동부제강, 영창악기, 석남동,  루원시티, 아나지고개, 효성사거리, 4공단, 갈산사거리, 부평구청, 부평시장, 부평역, 부개역, 일신동주민센터",금마초등학교,04:40/04:40,22:20/24:00,8,294,65.15,45,162,인천선진교통
13,단봉초등학교,"자이금호힐스테이트, 유승아파트, 검단농협, 검단2동주민센터, 불로중학교, 원당사거리, 당하초등학교, 백석동태평아파트, 검암사거리, 서구청, 가현중학교, 경남아너스빌, 서인천가구단지, 인천재능대학교, 동산교회, 제물포역, 주안역, 인하주유소, 용현고개,  용현시장, 숭의로타리, 숭의역, 중구문화회관, SK주유소",신흥동차고지,05:20/05:20,22:10/22:10,11,379,92.4,33,87,신흥교통
14,삼환교통(종점),"중구문화회관, 항운아파트, 어시장, 연안아파트, 신성초교, 옹진군청, 토지금고, 숭의로터리, 종합운동장, 제물포북부역, 도화오거리, 인천교, 가좌사거리, 가좌진주아파트, 가정오거리, 효성한남초교, 현대3차아파트, 작전역, 까치공원, 계양구청, 오조산공원",오조산공원,05:20/05:20,23:00/23:30,13,240,59.3,19,83,삼환교통
14-1,세원에너지충전소,"인향아파트, 아울렛, 산곡동입구, 무지개아파트, 인평자동차정보고, 백운역, 인천성모병원 후문, 일신동주민센터, 송내역, 인천대공원, 태평1차아파트, 장아어린이공원, 한빛초교앞<출퇴근시(오전 7:30~8~30, 오후 18:30~19:30) : 대공원 미경유하고 대공원앞지하차도 운행>",서창2지구,05:20/05:10,23:10/23:10,11,194,41.5,19,104,삼환교통
15,가좌동차고,"현대제철, 동국제강, 두산인프라코어, 만석부두, 인천역, 동인천역, 도원고개, 도원역, 제물포역, 도화초교사거리, 시민공원, 석바위, 주원고개, 간석5, 만수소방서, 만수시장",수현마을(인천대공원),05:00/05:00,23:30/23:30,7,165,41.54,25,168,시영운수
16,동춘동 종점,"무지개아파트, 풍림2차아파트, 연세대, 글로벌캠퍼스, 인천대 정문, 해양경비안전본부, 더샵그린애비뉴, 엑스포빌리지10단지, 송도라마다호텔앞, 옥련동성당, 송도역, 옥련여자고등학교, 교통방송(홈플러스), 옹진군청, 토지금고사장, 신흥시장, 동인천역, 동부시장, 송림체육관, 경인폐차사업소",가좌동차고지,04:40/04:40,22:30/22:30,22,265,61.2,14,56,성민버스
16-1,동춘동차고지,"무지개아파트, 풍림2차아파트, 운전면허시험장, 에코메트로9단지, 에코메트로6단지, 인천논현역앞, 청능로사거리, 주적골, 도림동고개, 남동체육관, 담방로사거리, 인천대공원, 구산사거리, 송내역<출퇴근시(오전 7:30~8~30, 오후 18:30~19:30) : 대공원 미경유하고 대공원앞지하차도 운행>",송내역남부,05:05/05:15,23:40/24:20,12,168,42.97,16,106,송도버스
17-1,마전풍림아이원,"검단사거리, 완정사거리, 검암역 입구, LH웨스톤블루힐아파트,가정보금자리3블럭아파트",청라골드클래스,04:20/05:00,22:30/23:40,17,154,35.8,9,63,강화선진버스
20,소래포구역,"소래역사관, 소래포구, 유호A, 한라풍림A,논현14단지등대마을,논현동주민센터,청능로사거리,논현5단지,논현3단지,논현주공1단지,도림고교,남촌동,작은구월사거리,모래내시장(롯데캐슬),신세계A,간석사거리,벽산이삭A,인천가족공원입구,인천성모병원,부개1동주민센터,일신동주민센터",송내역남부,05:30/05:30,22:40/22:40,13,183,42,17,95,용현운수
21,소래포구역,"원동초등학교, 신협, 유호아파트, 논현2지구, 도림주공, 남동구청,구월아시아드6단지아파트,농산물시장, 종합문화예술회관,인천고교, 석바위사거리,교보생명, 도화오거리, 제물포역, 동산교회, 송림오거리, 현대시장, 서흥초교, 솔빛마을주공아파트, 송현시장, 화도진공원,동구선거관리위원회",만석비치타운,05:30/05:30,22:40/22:40,21,243,56.8,13,55,용현운수
22,원창동차고지(원진운수),"풍림아이원, 공구상가, 송현동, 화평동, 동인천역, 배다리, 종합운동장, 숭의오거리, 제물포역, 제일시장, 용일사거리, 종합터미널, 길병원, 인천시청, 석천초교, 구월시장, 문성여상, 만수주공7.8단지, 장수동, 신천동",은행초등학교,05:00/05:00,23:00/23:00,17,282,62.25,19,72,원진운수
23,월미도 종점,"인천역, 송월동, 동인천역, 신포시장, 인천여상, 숭의로터리, 남구청입구, 제물포역, 제일시장, 시민공원, 석바위시장, 십정사거리, 백운공원, 부평역,  부평시장, 부개여고",부개역,05:20/05:20,23:00/23:30,10,191,43.15,23,127,삼환교통
24,국제여객터미널,"연안여객터미널, 연안부두어시장, 연안아파트, 삼익아파트, 동인천역, 재능대입구, 인천의료원, 대진아파트, 부평구청역, 굴포천역, 삼산체육관역",상동역(부천터미널),05:00/05:00,23:20/23:20,12,221,43.1,20,99,해성운수
24-1,가좌동차고지,"가좌환경사업소, 가좌4동주민센터, 가좌초등학교, 가좌현대아파트, 명신여자고등학교, 한양아파트, 부평서중, 부원중학교, 부평역, 부평시장, 굴포천역(롯데마트) 삼산타운6단지, 광명아파트, 계양경찰서",오조산공원,05:00/05:00,23:00/23:00,19,196,39,12,66,세운교통
27,국제여객터미널,"연안여객터미널, 연안부두어시장, 신선초등학교, 인하대병원, 용현초등학교입구 ,금호2차아파트 ,옹진군청, SK스카이뷰, 인하대역, 인하대후문, 용현4동주민센터, 학익2동주민센터, 학익고등학교, 영남아파트, 문학경기장, 신세계백화점(인천터미널), 구월아시아드6단지, 도림고등학교, 은봉초등학교, 논현초등학교 ,소래포구입구, 풍림아이원3차",월곶,05:25/05:25,22:30/22:30,23,245,59.15,12,50,용현운수
28,가좌동차고,"산업용품센타, 이마트송림점, 화도진공원, 인천역, 중구청, 신포시장, 동인천역, 도원역, 제물포북부역, 주안북부역, 5.6공단, 가좌4, 범양A, 명신여자고등학교, 경남1차아파트, 부평구청(부평경찰서방면), 삼산주공7단지, 현대아파트, 서운동성당",대동아파트,05:20/05:20,23:00/23:00,9,247,59.1,30,128,시영운수
28-1,가좌동차고,"목재부두사거리, 인천그랜드컨트리클럽, 홈씨씨인천점, 율도선착장입구, 해수워터피아, 경남아너스빌, 범양상가, 가좌주공, 가좌초등학교, 한국폴리텍2대학남인천캠퍼스, 6공단입구, 주안북부역, 석바위시장, 신기사거리, 용현시장, 제물포역",남구청,05:20/05:20,23:00/23:00,19,220,58.1,13,62,시영운수
30,매립지 입구(왕길동),"금호A, 원당지구, 유현마을, 장기동, 귤현역, 박촌동, 임학4, 계산역, 계산3, 한마음병원, 부평IC, 갈산4, 부평구청, 롯데백화점, 부평역, 일신동주민센터, 중앙병원, 만수주공후문, 인수초등학교, 남동구청, 남동체육관",서창2지구,04:20/05:00,22:30/24:00,9,302,80,41,147,인천제물포교통
33,연안부두 종점,"라이프아파트, 연안어시장, 해경, 연안아파트, 항운아파트, 한국전력, 인하대병원, 숭의로터리, 제물포역, 수봉공원, 도화사거리, 제일시장, 주안사거리, 석바위사거리, 인천시청, 길병원, 구월아시아드6단지, 남동구청후문(남동등기소), 남동구청, 남동초등학교, 남동중학교, 서창휴먼시아11블럭",서창2지구,05:30/05:30,22:50/22:50,11,240,51,25,108,부성여객
