노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
700-2,강화터미털,"창리, 선원면주민센터, 옥토끼우주센터, 길상면주민센터, 전등사남문, 장안말(온천스파), 초지대교, 약암관광호텔입구, 세어도선착장, 쿠팡물류센터, 용봉, 환경연구단지, 검암역, 풍림1차아파트, 검암중학교",검암역,5:10,22:30,120,240,90.6,2,8,강화선진버스
300,서구청소년수련관(원창동),"신현여자중학교후문, 북인천여자중학교, 효성도서관, 경인교대      후문, 이마트, 계양구청, 임학역, 병방시장, 박촌역, 당산초등학교, 화훼단지, 상야동, 하야동, 개화파출소",김포공항역,05:00/05:30,23:00/24:00,23,177,44.2,7,42,선진여객
903,월드아파트,"검단1동주민센터,백석고,거북시장,동암역,간석오거리역,길병원",신세계백화점(인천터미널),05:00/05:06,23:00/23:00,16,230,60.9,14,65,영풍운수
904,청라역,"서부산단, 청라지구, 석남@, 원적산터널, 부평경찰서, 부평시장",부평역,04:30/05:30,23:30/24:30,15,152,37.3,15,112,공영급행
904-1,청라역,"한양수자인, 한일베라체, 한라비발디, 부광하우스, 롯데캐슬,청라자이, 가정LH3단지, 석남@, 원적산터널, 부평경찰서, 부평시장",부평역,04:30/05:30,23:30/24:30,17,168,43,12,77,대한여객
905,계양역,"귤현역, 박촌역, 병방시장, 임학역, 롯데마트, 광명A, 엠코타운, 삼산4, 한국A, 수협, 부흥로터리, 동수파출소, 인천예림학교(부평성모병원), 간석4, 모래내시장, 작은구월4, 남촌풍림A, 도림고교, 논현주공1단지, 논현주공305동앞,  논현고교, 논현초교, 논현역",사리울중학교,04:30/05:30,23:20/24:30,11,190,50,19,111,공영급행
907,작전역,"청천치안센터, 산곡여중, 현대3단지, 백운역, 부평3, 간석5, 길병원, 남동공단입구, 남동경찰서, 남동공단근린공단앞, 청능로사거리, 논현고교, 소래역",사리울중학교,04:30/05:30,23:20/24:30,40,184,46.1,7,30,공영급행
908,송도공영차고지,"인천대,센트럴파크역,한진@,동막역,인천터미널",인하대후문,05:00/05:00,23:00/24:00,20,145,42.5,11,76,천지교통
909,인천대학교(공과대학),"인천대입구역,인천대학교, 지식정보단지역, 테크노파트역, 캠퍼스타운역, 동춘역, 신연수역, 논곡초, 논현5동, 도림주공1단지, 남동구청,장수초, 인천대공원, 중앙병원",송내역,04:30/05:30,23:30/24:30,18,175,51.5,10,65,공영급행
60-5,강화터미널,"안양대학교,양도면사무소,화도터미널,마니산입구, 문산교회앞, 덕포리, 선두1리, 온수전화국, 온수리, 전등사동문 초지대교, 양곡, KCC아파트, 청송마을, 풍경마을, 개화역환승센터",김포공항롯데몰,5:10,21:00,140,237,130.29,2,8,강화선진버스
103,동춘동차고지,"나사렛국제병원,남동인더스파크역,도림동입구, 농산물센터, 길병원,간석오거리,동암역,가정오거리,백마장농협,부평구청,상정중학교,부평구청,백마장농협,루원시티,간석오거리,길병원,남동공단",상정중학교,05:00/05:00,22:10/22:10,11,276,70.09,28,104,강인여객
103-1,십정동(강인여객),"십정사거리, 동암사거리, 간석오거리역, 간석사거리, 부평LH1(2)단지, 부개1동주민센터, 일신시장, 일신동주민센터, 송내역남부, 근로복지공단인천병원, 인천대공원, 남동구청, 남동초등학교, 수산동, 장도초등학교, 호구포역, 동춘역, 나사렛국제병원, 동막역, 경제자유구역청",국제업무지구역,05:00/05:00,22:10/22:10,13,277,70.5,24,89,강인여객
111,십정동(강인여객),"십정사거리, 선린감리교회,백영아파트,인천세무고,백운공원,부평도서관, 부평역, 부평구청, 갈산2동, 갈산주공2차A, 삼산주공, 계양경찰서, 계산역, 서부공단",인천국제공항,05:00/06:00,21:15/23:00,15,205,93.85,15,71,미래교통
117,LH 7단지,"한양수자인, 우미린2단지 힐스테이트, 한라비발디(출근시간대만 운행, 평일만 운행)<117A : 서부공단 입구(4:50, 5:00)~인천국제공항 회차~LH7단지 2회 별도 운행>",개화역,05:40/06:25,22:00/22:50,60,105,72.42,2,12,미래교통
302,송내역북부," 부천시민복지회관, 신동아베르디, 까치마을, 계양구청, 신대진중앙아파트, 계산역, 공촌사거리, 서부공단 (영종대교) 인천국제공항<중간출발 : 신대진중앙아파트(05:05), 계산역(04:30), 공촌사거리(05:00이후)><302A : 계산역(04:40~05:30)~인천국제공항 6회><302B : 송내역 북부(21:45~23:00)~서부공단 종료 6회>",왕산차고지,5:00,21:30,11,230,118.7,24,103,강인교통
303,십정동(강인여객),"십정사거리, 동암사거리, 간석오거리, 인천시청, 길병원, 종합터미널, 문학경기장, 선학역, 동춘역, 동막역, 해양경비안전본부 (인천대교)<중간출발 : 종합터미널(05:00), 선학역(05:00), 동춘역(05:00)>",인천국제공항,05:00/06:00,21:30/23:00,17,208,93.13,14,66,강인교통
303-1,십정동(강인여객),"간석오거리, 남동구청, 논현휴먼시아11단지, 청능로사거리, 한화에코메트로10단지, 남동소래아트홀, 해양경비안전본부 (인천대교)<중간출발 : 청능로사거리(05:00)>",인천국제공항,05:00/06:00,21:00/23:00,46,206,107.11,5,23,강인교통
304,십정동(강인여객),"십정시장입구, 간석오거리역, 구월중학교, 길병원, 종합터미널, 문학경기장, 선학역, 원인재역, 동춘역, 동막역(인천대교), 한양수자인, 힐스테이트, 중산동, 전소, 영종중학교, 넙디, 영종고등학교<중간출발:동춘역(5시)> ",운서역,5:00,22:30,26,185,82.9,7,39,강인교통
306,십정동(강인여객),"인천의료원, 재능대학교, 동인천역, 송현시장, 대우자동차운전학원, 서부공단, 인천국제공항, 공항청사, 을왕리해수욕장, 왕산해수욕장<중간출발 : 동인천역(4:50)><306A : 서부공단(5:10, 5:30, 5:50)~인천국제공항 중도회차~십정동 3회 별도 운행>",왕산차고지,4:40,20:40,22,275,123.8,14,48,청라교통
307,십정동(강인여객),"인천의료원, 재능대학교, 인천역, 중구청, 신포시장, 동인천역, 송현시장, 공구상가, 린스트리우스, 서부공단입구, 허브주유소, 영종역, 중촌교차로, 돌팍재삼거리, 하늘초등학교후문, 힐스테이트, LH7단지, 한양수자인, 중산동, 전소, 영종물류고등학교앞, 영종중학교, 운서초등학교, 운서역, 풍림아파트",삼목선착장,05:00/06:10,21:00/23:00,36,285,117.1,9,30,청라교통
308,북변환승센터,"김포고교, 유현사거리, 검암역입구, 빈정내사거리, 서부공단입구 (영종대교)<308A : 당하동탑스빌아파트(4:50, 1회)~인천국제공항~북변환승센터 운행종료>",인천국제공항,04:50/06:00,21:00/22:40,31,166,87.51,6,34,청라교통
320,동춘동 종점,"동춘2동주민센터, 나사렛국제병원앞, 연수역, 원인재역, 동춘역, 동막역(3번출구), 해양경비안전본부, 운서역, 영종고등학교, 넙디, 영종중학교, 전소, 중산동, 힐스테이트, 한양수자인",LH7단지,5:10,22:10,27,164,73.3,6,37,삼환교통
780,송도공영차고지," 인천대입구역, 지식정보단지역, 웰카운티, 경제자유구역청, 동막역, 연수구청, 연수역, 함박마을, 청학동(시대A), 청학동(현대A), 학익동, 신기시장, 시민회관4, 주안역",주안역환승정류장,05:00/05:30,22:50/24:00,40,140,37,8,30,천지교통
780-1,송도공영차고지,"인천대입구역, 롯데쇼핑몰, 해양경찰서, 동막역, 연수구청, 용담마을, 연수경찰서, 대동월드, 청학초교, 청학동(시대A), 신동아A, 신기시장, 재흥시장, 시민회관4",주안역환승정류장,05:00/05:00,23:00/23:30,15,125,34.5,12,85,천지교통
780-2,인천대학교 공과대학,"송도푸리지하버뷰,커널워크,더샵엑스포아파트,센트럴공원,이안송도,소암마을,(청량터널경유),동남스포피아,유천아파트,과천의과대학,선학역,문학경기장,인명여자고등학교",신세계백화점(인천터미널),05:00/05:30,23:20/24:00,25,116,30,7,52,천지교통
790, 옹진군청 ,"용현동, 제물포역, 시민공원, 석바위, 인천시청, 구월동현대힐스테이트, 모래내시장, 남동구청, 소래포구입구, 오이도역, 동보A, 북동3, 대부종고앞, 선재도, 영흥낚시터입구",영흥도,05:00/06:10,21:10/22:20,60,240,115.8,6,18,신강교통
800,강화터미널,"강화병원, 김포대학입구, 마송, 복합환승센터 한가람솔터마을, 검단1동주민센타, 검암역입구, 서구청, 인천의료원, 석바위, 길병원",종합터미널역,05:00/05:20,22:00/23:00,31,332,97.54,12,36,강화선진버스
1000,경남아너스빌,"거북시장,성민병원,신현치안센타,루원시티, 경인고속도, 양평동, 양화대교, 합정, 홍대입구, 신촌, 이대입구,충정로",서울역,05:00/05:50,24:00/01:00,17,130~140,64.5,14,82,삼화고속
1100,금오동,"검단지식산업센타,완정초등학교,대우푸르지오,홍대입구역,동교동삼거리,신촌역,이대역,아현역,종근당",서울역,05:00/06:05,23:40/24:50,15,150~200,85.8,18,75,신강교통
1101,풍림2차,"검단초등학교,원당사거리,홍대입구역,이대역,아현역,종근당",서울역,05:00/06:00,23:30/24:30,30,200~240,55,11,44,신강교통
1200,석남동(미주탕),"산곡동한화마트앞,청천동정육백화점앞(청천시장맞은편),대우아파트118동앞(대우자동차정문 맞은편),금호아파트앞(104동중문앞),부평구청 후문,뉴서울아파트앞(104동앞 삼산2지구건너편),양평동대우자동차앞(강서세무서건너편),합정역4번출구,홍대역5.6번출구사이SK텔레콤앞,신촌,이대입구,충정로",서울역,05:00/06:00,24:00/01:00,35,180~200,72,8,36,신동아교통
1300,동춘동,동막역(1번출구) - 동춘역 - 동아 금호아파트 - 솔안공원 - 신연수(풍림아파트) - 선학역(1번출구) -신세계백화점(인천터미널)- 구월동 팬더아파트 - 남동구청(만수우체국) - 건설기술교육원 - 부천시청 -《경인고속도로》 - 합정역 - 이대역,서울역,05:00/06:15,23:40/01:00,40,230~260,82.3,16,50,천지교통
1301,송도공영차고지,운전면허시험장-논현지구-만수동-부천시청-경인고속도로-양평-합정-홍대입구역-신촌-이대-충정로,서울역,05:00/06:00,23:00/24:30,30,250~310,104.5,11,36,천지교통
1302,송도극지연구소,송도더샵그린스퀘어-글로벌캠퍼스푸르지오-연세대-에코메트로10단지-소래풍림아파트-서창지구-부천시청-합정역-홍대입구역-신촌오거리2호선신촌역-이대역-충정로역,서울역,05:00/06:00,23:00/24:30,25,250~310,105,11,32,천지교통
1400,인천터미널,"길병원,올리브백화점,간석오거리,부평현대아트,부평역,부평시장,대우자동차,갈산동,경인고속도로,양화대교,합정,신촌,이대역,웨딩타운,아현역,충정로",서울역,05:00/06:00,23:40/01:00,20,150~180,73.2,14,77,세운교통
1500,계산동,"계양구청-이마트-계산주공-계산역-계산삼거리-경인교대역-작전역-태화아파트-(경인고속도)-양평동-합정역-홍대역-신촌역-이대역,충정로",서울역,05:00/05:50,24:00/01:00,17,130~140,64.2,16,96,삼화고속
1601,장미아파트,"인하대정문,석바위,인천시청후문,부천시청,합정역,이대역,아현역,종근당",서울역,04:40/06:10,23:20/00:50,40,240~280,77.8,12,40,신강교통
2500,계산동,롯데마트 - 계양구청 - 이마트 - 계양CGV - 안산초등학교(구 계산고교) - 계산역 - 계산삼거리(신도브래뉴) - 경인교대입구 - 작전역 - 작전동삼성홈플러스 - 안남고등학교 - 태화아파트-《경인고속도로》 - 영등포구청 - 여의도환승센터 - 충정로역(5호선),서울역,05:00/06:00,24:00/01:00,40,170~200,70.1,7,28,천지교통
9100,용현동(구터미널),"제물포역,주안사거리,인천시청후문, 만월중학교,선바위역,서초역",강남역,05:00/06:10,23:00/24:30,20,177,117,20,77,인강여객
9200,송도유원지,인하대학교-법원검찰청-신동아아파트-외곽고속도로-선바위역-서초자이아파트 -서초역-교대역-강남역-우성아파트-양재역-시민의숲--선바위역-신동아3차아파트 -신동아아파트(폐쇄)-약수터입구(폐쇄)-학익시장(변경)- 장미아파트-인하대정문-원흥아파트-송도유원지 ,강남역,05:00/06:10,24:30:00,15,145,119,24,100,인강여객
9201,성호아파트,먼우금사거리 - 동아 금호아파트 - 연수구청 - 삼성아파트 - 한양A2차 - 동막역(3번출구) -연세대송도캠퍼스입구-연세대앞《제3경인고속도로》- 《서울외관순환고속도로》 - 선바위역 - 교대역,강남역,05:00/06:05,23:00/24:30,25,264,114,17,56,인강여객
9300,청라국제업무단지(골드클래스),"청라자이, 작전역, 갈산주공아파트, 상동홈플러스, 서초역, 교대역, 선바위역",강남역,05:00/06:10,23:00/24:50,50,210,131,11,29,선진여객
9301,신진아파트,"삼산체육관, 상동역, 송내역, 선바위역, 서초역, 교대역",강남역,05:00/06:10,23:00/24:50,50,180,97,12,25,선진여객
9500,인천터미널,"길병원, 올리브백화점, 간석오거리, 현대아파트,부평역, 부평시장,삭은다리,갈산동,작전동,계산삼거리,계산역,계산동,임학사거리,외곽순환도로,올림픽대로,강남고속TR,강남역",양재시민의 숲,05:00/06:15,23:30/01:00,50,220~240,109.4,15,56,세운교통
9501,마전지구,1차풍림아이원-불로지구-북변지구-(48번국도)-(올림픽대로)-강남고속터미널-논현동-강남역,양재시민의 숲,05:00/06:10,23:40/01:00,25,200~260,91,13,58,신강교통
9802,나호공원,"검단지식산업센타, 단봉초등학교, 유승아파트, 검단원흥아파트,완정사거리,인천보은병원,대우푸르지오,유현사거리,반포역,교보타워,강남역,우성아파트,양재역",양재시민의 숲,5:00,23:40,40,180~240,99.4,9,40,신강교통
533,신동아A,"만수시장, 소방서, 간석4, 간석시장, 목화예식장, 간석5",동암역,05:10/05:23,24:00/24:20,8,41,10,9,216,삼환여객
534,장수동차고지,"만수시장, 간석4, 간석5, 올리브아울렛, 간석주공A, 길병원, 길병원4리, 종합문화예술회관(정문)",신세계백화점,05:20/05:48,24:00/23:20,15,68,14.5,7,112,삼환여객
순환31,"구월아시아드 1,2단지","농수산물도매시장, 신세계백화점(인천터미널), 풍림아파트, 인명여자고등학교, 동부아파트, 쌍용아파트, 동아아파트, 순복음교회앞, 순복음교회, 예술회관4거리, 신세계백화점(인천터미널), 농산물 도매시장, 남인천세무서","구월아시아드 1,2단지",5:30,23:00,25,40,5.3,2,52,해성운수
순환51-1,송도공영차고지,"인천가톨릭대, 지식정보단지역, 테크노파크역, 해돋이공원, 해양안전본부, 캠퍼스타운역, 연세대, 박문중학교, 사리울중학교, 미추홀외고, 우체국사거리, 소래포구역",논현중학교,05:30/05:30,23:00/23:00,17,150,41.7,10,70,인천교통공사
순환91,송도공영차고지,"지식정보단지역(4번출구), 인천가톨릭대, 미추홀공원, 힐스테이트6단지, 더?하버뷰14단지, 더?그린애비뉴, 송도힐스테이트, 금호아파트, 신송고등학교, 한진아파트, 캠퍼스타운역, 연세대, 삼성바이오로직스, 인천카톨릭대, 송도더샵그린스퀘어, 송도스마트밸리, 송도유니버스골프클럽, 선광, 한진",송도스포츠센터,05:30/05:30,23:00/23:00,21,148,36.14,8,56,인천교통공사
순환92,송도공영차고지,"베르나바이오텍코리아, 인천대학교 공과대, 알앤디서비스, 지식정보단지역, 송도더샵글스퀘어, 글로벌캠퍼스푸르지오, 글로벌캠퍼스, 연세대, 박문여고, 박문중학교, 캐슬해모로, 박문중학교정문, 테크노파크IT센터, 캠퍼스타운역, 성지아파트, 신송고등학교, 송도풍림아이원4단지, 먼우금초등학교, 송도더샵그린워크, 신정중학교",엑스포빌리지10단지,05:30/05:30,23:00/23:00,20,140,34.69,8,60,인천교통공사
506,원창동차고지,"태양공단, 서흥초등학교, 동부시장, 동부청소년수련관, 배다리삼거리, 미림극장, 동인천북광장, 송현시장, 솔빛마을, 화수청소년문화의집, 화수진중학교, 화수사거리, 만석부두, 만석주공, 송현시장, 도원역, 남구청, 용현시장, 독정이고개",수봉각,05:30/05:50,22:55/24:00,25,172,34.2,8,48,삼성여객
510,송현동차고지,"산업용품센타, 인천의료원, 주안자동차매매단지, 한미반도체, 주안북부역,도화오거리, 스마트타운, 제물포역, 인화여고, 송림3.5동주민센터, 동산중고등학교, 미도아파트, 송림고개",도화서희스타힐스,05:10/05:30,23:40/24:05,10,101,22.9,10,110,삼환운수
511,인천SK스카이뷰,"인하대역, 인하대후문, 정석항공과학고, 용현4동주민센터, 용일사거리, 인천기계공고, 주안2동치안센터, 제일시장, 주안사거리, 교보생명, 주안역환승정류장, 주안1동주민센터, 도화IC, 롯데월드타워",주안역환승정류장,05:20/05:45,23:20/23:45,5,68,13.4,15,238,성민버스
512,인하대후문,"용현고개, 용현시장, 장천사거리, 숭의초등학교, 남구청, 제물포역(동양빌딩), 남중학교, 제물포시장, 용정초등학교, 수봉공원, 수봉마을쉼터, 삼성빌라, 용정초등학교, 제물포시장, 독정이고개, 용일초등학교, 용남시장, 용일사거리, 용남파출소, 정석항공과학고",수봉공원종점,05:30/06:00,23:00/23:30,35,61,11.3,2,34,성민버스
514-1,구월아시아드," 남인천세무서, 농산물도매시장, 신세계백화점(인천터미널),  순복음교회, 남인천여중, 한신아파트, 로얄아파트, 재흥시장, (구)시민회관사거리",주안역환승정류장,05:30/05:30,24:20/24:35,10,79,11.42,9,128,해성운수
515,법원,"학익시장앞, 학익사거리, 장미아파트, 인하대정문, 홈풀러스정류장, 장미아파트, 검철청, 신동아3차아파트, 인천향교, 문학경기장, 신비마을아파트, 관교여자중학교, 신비마을아파트, 진흥아파트, 태평아파트, 쌍용아파트, 신기남부종합시장, 재흥시장, 시민회관, 교보생명, 석암초등학교앞",주안역,05:00/05:40,23:40/24:30,14,104,19.6,9,96,대인교통
515-1,법원,"우진아파트, 쌍용아파트, 신기.남부종합시장, 재흥시장, (구)시민회관사거리",주안역,05:00/05:20,24:00/24:25,23,57,8.94,3,60,대인교통
516,현광아파트,"병무청, 동양화학, 교통방송(홈플러스), 인하대정문, 풍림아이원아파트, 학산사거리, 학익사거리, 학익2동주민센터, 법원, 연학초등학교, 우진아파트, 학익여자고등학교, 신동아아파트5차, 쌍용아파트, 신기.남부종합시장, 재흥시장, (구)시민회관사거리, 교보생명 ",주안역환승정류장,05:00/05:25,24:00/24:25,17,103,18.3,7,77,신동아교통
517,윤성아파트,"용정초, 제물포시장, 남구청입구, 용현시장, 인하대역, 윤성아파트, 토지금고시장, 용현초등학교입구, 인하대병원, 신포시장, 동인천, 신흥시장, 굴다리입구, 토지금고시장, 금호아파트, 한국아파트 ",동인천역,04:50/05:35,23:20/23:40,17,105,20,5,52,신흥교통
518,병무청,"대동아파트, 신동아1차, 쌍용아파트, 신기남부시장, 귀빈예식장, 시민회관사거리, 석암초등학교, 석바위, 동아풍림아파트, 장미아파트, 교통방송(홈플러스), 인하대정문 , 풍림아이원아파트",주안역,05:00/05:25,24:00/24:25,12,87,13.9,9,117,신동아교통
519,윤성아파트,"용정초, 제물포시장, 남구청입구, 용현시장, 인하대역, 윤성아파트, 한국아파트, 금호아파트, 용현초, 목화빌라, 노인복지회관, 숭의역, 신흥시장, 보건환경연구원, 동인천역, 신포시장, 인하대병원, 하나로쇼핑, 토지금고시장, 금호아파트, 한국아파트 ",동인천역,05:20/05:35,23:45/24:10,21,107,20.5,5,51,신흥교통
520,병무청,"대인파크빌, 원흥아파트, 학익1동주민센터, 대동아파트, 신동아1차아파트, 신동아5.7단지, 태평아파트, 관교중, 인명여고,농산물시장(터미널)",신세계백화점,05:05/05:30,24:00/24:25,16,81,12.36,6,84,신동아교통
521,옥련중학교,"송도역, 송도재래시장, 현대4차아파트, 옥련2동주민센터, 럭키아파트, 인천해양과학고, 경인방송, 정비단지, 한양2차아파트, 대우아파트, 신흥시장, 보건환경연구원, 웅진농협, 배다리",동인천,05:05/05:25,23:50/24:15,9,81,16.08,11,152,세원교통
522,남동대교,"동춘역, 풍림2차아파트, 인천뷰티예술고, 한양2차아파트, 동아.금호아파트, 원인재역, 신연수역, 선학역, 관교중, 문학경기장, 재흥시장, (구)시민회관사거리<하행순환 : 남동대교, 공단소방서, 인천인력개발원, 중소기업청, 한국마쓰이, 한국가스공사, 남동대교>",주안역,05:15/05:15,23:50/24:30,12,139,30.8,14,100,삼일여객
523,동춘동 종점,"동춘2동주민센터, 송도유원지, 우성아파트, 옥련초중교, 현대4차아파트, 송도고 입구, 옥련여고(능허대중), 송도역, 송도재래시장, 청학아파트, 용담마을, 동남스포피아, 문남마을, 연수1동주민센터, 문남초등학교 연수역, 연수2차아파트, 신연수, 선학역, 선학체육관, 관교중학교, 종합터미널, 박태환수영장",인천종합터미널,04:40/05:30,23:00/23:50,11,137,33.1,13,104,도영운수
523-1,동춘동차고지,"동막역, 연성초중교, 연수구청, 연수1차아파트, 경남아파트, 선학역, 문학경기장, 인명여고, 예술회관, 중부고용노동청, 동인천중, 석바위, 시민공원역",주안역,04:40/04:40,23:00/23:35,14,85,23,6,80,도영운수
524,선학역,"아주아파트, 아모텍, 거산정공, 논현주공2단지, 숲속마을휴먼시아, 호구포역, LG물류센터, 에몬스가구, 사리울중, 고잔고, 미추홀외고, 에코메트로6.7단지, 소래도서관, 선학아파트. 신연수역, 선학중, 선학동주민센터",원동초등학교,5:45,23:00,27,89,20.1,4,46,삼일여객
526,삼산체육관,"구산중학교, 보람마을아파트, 부개우체국, 부개여자고등학교, 방촌공원, 부평여자중학교, 부개고입구, 부개역, 일신동주민센터, 61사단(장애인종합복지관), 부평자이, 금마초등학교, 주공아파트, 한국아파트, 부평LH1(2)단지, 인천성모병원정문, 동수역, 희망촌입구, 삼부.한신아파트, 삼산체육관",신성미소지움,6:00,22:30,26,90,17.31,4,44,신화여객
530,동암역,"십정초등학교, 십정고개, 열우물사거리, 새소망교회, 승보사입구, 상정중, 십정고개",동암역,6:00,23:00,46,36,3.9,1,28,해성운수
531,효성상아아파트,"대동은행, 신세계A, 상인천중, 올리브아울렛, 보명약국, (구)인산전문대, 주원고개",동암역 남부,5:00,23:40,20,49,7.99,3,68,삼환운수
532,서창동차고지,"서창휴먼시아11단지, 장아어린이공원, 서창중학교, 태평아파트입구, 장수주공(청소년수련원), 장수빌라, 구장수파출소, 만수고등학교, 만성중학교, 문일여자고등학교, 모래내시장, 구월초등학교, 길병원, 올리브백화점(532A 상행만 장수주공 경유, 532B 하행만 장수주공 경유)",동암역 남부,04:45/05:10,23:20/24:10,8,130,26.5,19,162,삼환운수
535,서창2지구(뒤방죽들),"임마뉴엘교회, 서창휴먼시아8블럭후문,LH청아안아파트, 장수서창동주민센터,올리브아울렛, 올림픽기념관, 모래내시장, 건설기술교육원, 만수7.8단지, 진흥아파트, 태평아파트, 서창동(현대아파트), 신일교회, 장수서창동주민센터, 임광그대가아파트",동암역 남부,5:10,23:20,13,129,24.94,12,101,성원운수
535-1,운연동,"만의골입구, 부대앞, 민의골입구, 인천대공원후문, 장수교, 만수초등학교, 장수동, 만의골입구, 부대앞, 만의골입구,새비젼교회,백제엔지니어링,하림<535-1A: 출근시 부대앞(소래산입구) 미경유>",운연동,7:00,20:35,73,63,18.81,1,12,성원운수
536,인천대공원후문,"장수골사거리, 진흥아파트, 광명상가, 뉴서울아파트, 남동초교, 만수1동, 길병원, 올리브아울렛, 간석오거리",동암역 남부,04:40/05:15,23:40/24:15,11,115,20.81,13,128,성원운수
537,남동공단입구,"김미현골프장, 사리울초등학교후문, 미추홀외고, 논현동힐스테이트, 논현역, 은봉초등학교, 논현사거리, 주적골, 도림주공1.2단지, 도림고등학교, 방죽골, 풍림아파트, 남동I.C, 농산물도매시장인천보훈지청, 길병원, 구월중, 올리브백화점, 간석오거리역, 인천교통공사, 종합터미널, 남촌동입구, 소래도서관",동암역 남부,04:40/05:20,23:20/24:20,15,142,29,11,86,성원운수
538,만수중학교,"만수중(대토단지), 만수초등학교, 만성중학교, 만수고등학교, 장수사거리, 청소년수련원, 인천대공원후문, 청소년수련원, 장수사거리, 대토단지앞, 인수초등학교, 만수주공4단지, 조동초등학교, 만수북중학교, 향촌지구정문, 민방위교육장, 만수소방서, 만수3동주민센터, 간석사거리(상인천중학교), 간석오거리역",동암역 남부,04:27/04:58,23:48/24:25,12,89,15.6,9,117,성원운수
539,새마을금고,"태화아파트, 간석사거리, 간석시장, 간석오거리, 보훈회관, 공동묘지입구",동암역 남부,05:00/05:10,23:45/24:10,8,28,5.66,4,160,성원운수
540,만월쉼터,"만수3동주민센터, 상인천중, 올리브아울렛, 간석주공,인천시청, 석바위, 법원, 주안주공",간석역 남부,5:00,23:30,14,69,11.22,6,96,삼환운수
551,청천농장,"청천초교, 청천파출소, 청천중, 현대5차A, 부평전화국, 부평여고, 부평고(회차:부평시장)",부평역,04:59/05:22,23:35/24:15,13,72,13.83,7,108,세원교통
552,태일연립,"팔도주유소, 부평기술고, 화랑교회, 부평서중,석진고개, 신촌초교, 현대백화점, 부평시장",부흥로터리,6:00,23:00,73,63,10.55,1,16,신화여객
555,삼산동차고지,"미래타운4단지, 미래타운1단지, 삼보아파트, 한국아파트, 갈산역, 부평구청, 부평시장",부평역,5:00,23:10/23:40,13,88,14.72,8,99,신화여객
556,삼산동차고지,"미래타운5단지, 신성미소지움, 두산위브아파트, 부평역사박물관, 갈산주공1단지, 대동아파트상가, 갈월초등학교, 부평중학교, 부평구보건소, 부평시장(한국자산관리공사), 부평역, 부원중학교, 2001아울렛, 백운역, 현대3단지, 인평자동차정보고, 산곡여자중학교, 무지개아파트, 산곡중학교, 삼보아파트, 명신여자고등학교, 새사미아파트세일고, 가좌현대아파트, 범양상가, 건지사거리, 삼산경찰서, 영선고등학교",대동1차 아파트후문,05:15/05:35,22:30/23:30,16,150,26.4,11,75,태양여객
557,희망천입구,"대광아파트, 마을금고, 부평2동, 한서유통, 늘봄마을, 전인연립, 쌍굴다리, 신촌교회, 부평공원입구, 부원중, 부평시장",부평역,05:20/05:30,24:00/24:10,11,38,6.21,4,117,삼성여객
558,진산초등학교,"부평역사박물관, 삼산주공1단지, 삼산월드체육관, 한국만화박물관, 삼산체육관역, 구산중학교, 부개주공3단지, 부개우체국, 부개여자고등학교, 방촌공원, 세인아파트, 부개2파출소, 농협로타리, 부평역, 부평시장, 부평시장역, 정병원, 부광여자고등학교, 신명.보람아파트, 신성미소지움, 영선고등학교, 진산고등학교",부평역,05:30/05:50,23:30/24:00,17,84,13.17,6,77,태양여객
560,부평경찰서,"부평구청역, 부평여고, 대우아파트, 동아2차정문, 롯데백화점, 부평역, 부원중, 한국아파트, 욱일아파트, 대림아파트상가, 혜성프라자, 대진아파트, 미도7차아파트, 쌍용아파트정문",부평역,6:05,24:05:00,12,37,5,4,116,해성운수
561,희망천입구,"부일여중, 인천성모병원, 한국아파트, 부개농협, 부평역, 부평시장",부평시장(한남프라자),06:00/06:25,23:43/24:10,11,62,10.31,7,120,대인교통
562,금호아파트,"미도7차아파트, 동광제일교회, 혜성프라자, 대림상가, 산곡동주안빌딩, 동아아파트후문, 부원중학교, 부평역, 부평시장, 혜광병원, 부평시장역, 백마장입구, 부평구청, 부평경찰서",부평역,06:00/06:10,23:40/24:00,11,36,6,4,117,삼성여객
564,간석역,"석정여자고등학교, 동암국민주택, 십정시장, 동암역, 주공뜨란채아파트, 백운역, 현대아파트",현대아파트 후문,05:20/05:30,24:00/24:10,14,61,10,5,91,해성운수
564-1,백운역,"백운공원, 한국아파트, 정원아파트",인천세무고,05:30/05:37,24:15/24:07,19,15,1.59,1,75,해성운수
564-2,현대아파트 후문,"현대아파트, 백운역, 부평아트센터, 신동아아파트",동암역 남부,05:20/05:30,24:00/24:10,14,43,6.79,4,104,해성운수
565,부평역사박물관,"진산고등학교, 영선고등학교, 신성미소지움후문, 삼산서해그랑블, 한국만화박물관, 삼산체육관역, 구산중학교, 뉴서울아파트, 동아아파트, 인천축산농협, 부흥로터리, 부평시장역, 시장로터리,  나누리병원, 오성아파트, 신명. 보람 아파트, 삼산체육관역, 삼산경찰서, 부평역사박물관",부평역,05:30/05:50,23:30/24:00,13,87,13.9,8,99,태양여객
